sid,search,"splunk_server","_time","is_realtime",provenance,"api_et","api_lt","event_count","exec_time","result_count","scan_count","search_et","search_lt",status,"total_run_time","savedsearch_name","__mv_sid","__mv_search","__mv_splunk_server","__mv__time","__mv_is_realtime","__mv_provenance","__mv_api_et","__mv_api_lt","__mv_event_count","__mv_exec_time","__mv_result_count","__mv_scan_count","__mv_search_et","__mv_search_lt","__mv_status","__mv_total_run_time","__mv_savedsearch_name"
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562443007.24","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562443007.703736",0,splunkjs,,,0,1562443008,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25","search index=invoices | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562443273.824609",0,splunkjs,,,22,1562443274,22,22,,,completed,"0.315",searchBarSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD50c11eb8f5ef38736_1562443274.26","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25 | head 1 | transpose | fields column | search column != ""column"" AND column != ""_*""",f46a6fe235b2,"1562443274.977505",0,splunkjs,,,0,1562443274,1,0,,,completed,"0.019",predictionFieldsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443280.27","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562443273.25 | predict ""invoice_amount"" as prediction algorithm=LLP holdback=0 future_timespan=5 upper0=upper0 lower0=lower0 | `forecastviz(5, 0, ""invoice_amount"", 0)`",f46a6fe235b2,"1562443280.824000",0,splunkjs,,,0,1562443280,27,0,,,completed,"0.764",forecastSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5dd8f49e5d2a8e7e4_1562443281.29","| loadjob admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__forecastSearch_1562443280.27 | where prediction!="""" AND 'invoice_amount' != """" | `regressionstatistics(""invoice_amount"", prediction)`",f46a6fe235b2,"1562443281.991410",0,splunkjs,,,0,1562443282,1,0,,,completed,"0.053",regressionstatisticsSearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562443283.30","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562443283.531084",0,splunkjs,,,0,1562443283,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444636.34","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444636.119488",0,splunkjs,,,0,1562444637,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444647.35","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444647.609425",0,splunkjs,,,0,1562444648,0,0,,,failed,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__RMD5f9341f4f605b539f_1562444687.36","| kvstorelookup experiment_id=c28273bef90a45aeadf32638f8a47731 | eval R²=stats_rSquared, RMSE=stats_RMSE, # of outliers=stats_outlierCount, Algorithm=searchStages, Notes=notes, User=user, Scheduled=from_schedule, _time=_time, Actions=dataSource",f46a6fe235b2,"1562444687.099158",0,splunkjs,,,0,1562444688,0,0,,,canceled,"0.002",experimentHistorySearch,,,,,,,,,,,,,,,,,
"admin__admin_U3BsdW5rX01MX1Rvb2xraXQ__searchBarSearch_1562444691.37","search index=""invoices"" | eval _time=strptime(from_date, ""%Y-%m-%d"") | timechart span=1mon values(invoice_amount) as invoice_amount",f46a6fe235b2,"1562444691.912545",0,splunkjs,,,22,1562444692,22,22,,,completed,"0.258",searchBarSearch,,,,,,,,,,,,,,,,,
